고객ID,성별,연령,결혼여부,부양자유무,부양자수,추천횟수,영수증발급여부,과금방식,보안서비스,백업서비스,기술지원서비스,데이터무제한,데이터사용량,시작일,종료일,고객이탈여부,이탈가능점수,이탈유형,LTV,만족도,로밍사용료,시작일_dt,종료일_dt,유지기간,총과금액,유지기간(년),데이터사용구간,고객월평균납부액
C-10001,여성,37,Yes,No,0,2,Yes,신용카드,No,Yes,Yes,Yes,16,2020-04-01,2022-01-01,No,65,,2205,3,47910,2020-04-01,2022-01-01,21,1755400,1,1GB 이상 2GB 미만,83590.47619047618
C-10002,남성,46,No,No,0,0,No,신용카드,No,No,No,No,10,2020-04-01,2022-01-01,No,66,,5414,5,12090,2020-04-01,2022-01-01,21,1447500,1,1GB 이상 2GB 미만,68928.57142857143
C-10003,남성,50,No,No,0,0,Yes,계좌이체,No,No,No,Yes,30,2020-10-01,2021-02-01,Yes,71,Competitor,4479,1,38080,2020-10-01,2021-02-01,5,490900,0,3GB 이상 4GB 미만,98180.0
C-10004,남성,78,Yes,No,0,1,Yes,계좌이체,No,Yes,No,Yes,4,2020-06-01,2021-07-01,Yes,99,Dissatisfaction,3714,1,31410,2020-06-01,2021-07-01,14,1578400,1,1GB 미만,112742.85714285714
C-10005,여성,75,Yes,No,0,3,Yes,신용카드,No,No,Yes,Yes,11,2021-07-01,2021-10-01,Yes,68,Dissatisfaction,3464,1,8360,2021-07-01,2021-10-01,4,378000,0,1GB 이상 2GB 미만,94500.0
C-10006,여성,23,No,Yes,1,0,Yes,신용카드,No,No,Yes,Yes,73,2020-04-01,2022-01-01,No,55,,5108,3,0,2020-04-01,2022-01-01,21,1718900,1,7GB 이상 8GB 미만,81852.38095238095
C-10007,여성,67,Yes,No,0,1,Yes,계좌이체,Yes,Yes,Yes,Yes,14,2015-02-01,2022-01-01,No,26,,5011,3,11300,2015-02-01,2022-01-01,83,10744500,6,1GB 이상 2GB 미만,129451.80722891567
C-10008,남성,52,Yes,No,0,8,Yes,신용카드,Yes,No,Yes,No,7,2015-10-01,2022-01-01,No,49,,4604,4,14690,2015-10-01,2022-01-01,75,7455600,6,1GB 미만,99408.0
C-10009,여성,68,No,No,0,0,Yes,계좌이체,Yes,No,No,Yes,21,2020-06-01,2022-01-01,No,34,,5525,3,11870,2020-06-01,2022-01-01,19,1098500,1,2GB 이상 3GB 미만,57815.78947368421
C-10010,여성,43,Yes,Yes,1,3,Yes,신용카드,Yes,Yes,Yes,Yes,14,2015-08-01,2022-01-01,No,25,,5509,3,32210,2015-08-01,2022-01-01,77,8186200,6,1GB 이상 2GB 미만,106314.28571428571
C-10011,남성,47,No,No,0,0,No,신용카드,Yes,No,Yes,Yes,10,2016-07-01,2022-01-01,No,54,,5435,4,0,2016-07-01,2022-01-01,66,3498400,5,1GB 이상 2GB 미만,53006.06060606061
C-10012,여성,25,Yes,Yes,2,2,Yes,신용카드,Yes,Yes,Yes,Yes,59,2015-01-01,2022-01-01,No,52,,6252,3,18080,2015-01-01,2022-01-01,84,11481700,7,5GB 이상 6GB 미만,136686.90476190476
C-10013,여성,58,Yes,No,0,0,Yes,계좌이체,No,No,No,Yes,10,2020-08-01,2022-01-01,No,57,,5536,3,21130,2020-08-01,2022-01-01,17,1344900,1,1GB 이상 2GB 미만,79111.76470588235
C-10014,여성,32,No,No,0,0,Yes,계좌이체,Yes,Yes,No,Yes,16,2015-01-01,2022-01-01,No,53,,5513,3,2600,2015-01-01,2022-01-01,84,9985300,7,1GB 이상 2GB 미만,118872.61904761905
